Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-07-25,1996.5770263671875,17049.0,6390.7001953125,1474.469970703125,16573.58984375,4494.64990234375
2000-07-26,2012.3189697265625,17121.0,6387.10009765625,1452.4200439453125,16502.609375,4494.64990234375
2000-07-27,2012.3499755859375,16949.0,6352.10009765625,1449.6199951171875,16182.009765625,4494.64990234375
2000-07-28,2012.79296875,16486.0,6335.7001953125,1419.8900146484375,15838.5703125,4494.64990234375
2000-07-31,2023.5389404296875,16455.0,6365.2998046875,1430.8299560546875,15727.490234375,4494.64990234375
2000-08-01,2028.1510009765625,16290.0,6379.39990234375,1438.0999755859375,16099.669921875,4494.64990234375
2000-08-02,2030.6829833984375,16314.0,6391.2998046875,1438.699951171875,16206.1904296875,4494.64990234375
2000-08-03,2036.301025390625,16721.0,6317.10009765625,1452.56005859375,15814.4404296875,4494.64990234375
2000-08-04,2026.3609619140625,16761.0,6363.5,1462.9300537109375,15667.3603515625,4494.64990234375
2000-08-07,2039.4189453125,16996.0,6387.7998046875,1479.3199462890625,16002.7099609375,4494.64990234375
2000-08-08,2049.916015625,16885.0,6358.10009765625,1482.800048828125,15820.1103515625,4494.64990234375
2000-08-09,2061.179931640625,16534.0,6414.0,1472.8699951171875,16034.599609375,4494.64990234375
2000-08-10,2065.943115234375,16835.0,6387.2998046875,1460.25,15975.650390625,4494.64990234375
2000-08-11,2062.666015625,17395.0,6384.5,1471.8399658203125,16117.5,4494.64990234375
2000-08-14,2076.305908203125,17811.0,6419.89990234375,1491.56005859375,16153.91015625,4494.64990234375
2000-08-15,2076.822998046875,17744.0,6475.5,1484.4300537109375,16298.2900390625,4494.64990234375
2000-08-16,2083.467041015625,17331.0,6532.10009765625,1479.8499755859375,16356.0302734375,4494.64990234375
2000-08-17,2091.5859375,17703.0,6518.2001953125,1496.0699462890625,16161.0302734375,4494.64990234375
2000-08-18,2090.18310546875,17314.0,6543.7001953125,1491.719970703125,16280.490234375,4494.64990234375
